2026-07-06 01:28:40,770	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 01:28:40,771	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 01:28:43,250	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 01:28:44,078 E 25610 6814650] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '387591bdea50ac7028746b9501000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=25675)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,045	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,066	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 78, 'env_steps': 2555904, 'episode_return_mean': np.float64(830.5), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.027490392327308655), 'wall_s': 2964.7}
{'iter': 79, 'env_steps': 2588672, 'episode_return_mean': np.float64(826.40625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.024825341999530792), 'wall_s': 3000.6}
{'iter': 80, 'env_steps': 2621440, 'episode_return_mean': np.float64(828.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0225551575422287), 'wall_s': 3036.1}
{'iter': 81, 'env_steps': 2654208, 'episode_return_mean': np.float64(828.9375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.016819341108202934), 'wall_s': 3071.5}
{'iter': 82, 'env_steps': 2686976, 'episode_return_mean': np.float64(836.25), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.020475521683692932), 'wall_s': 3107.0}
{'iter': 83, 'env_steps': 2719744, 'episode_return_mean': np.float64(835.1875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.018425308167934418), 'wall_s': 3142.8}
{'iter': 84, 'env_steps': 2752512, 'episode_return_mean': np.float64(837.71875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.018142525106668472), 'wall_s': 3178.3}
{'iter': 85, 'env_steps': 2785280, 'episode_return_mean': np.float64(827.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.014522960409522057), 'wall_s': 3213.8}
{'iter': 86, 'env_steps': 2818048, 'episode_return_mean': np.float64(838.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.01206641923636198), 'wall_s': 3249.3}
{'iter': 87, 'env_steps': 2850816, 'episode_return_mean': np.float64(830.1875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.011956804431974888), 'wall_s': 3284.9}
{'iter': 88, 'env_steps': 2883584, 'episode_return_mean': np.float64(833.21875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.011113247834146023), 'wall_s': 3320.6}
{'iter': 89, 'env_steps': 2916352, 'episode_return_mean': np.float64(839.78125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.01230099517852068), 'wall_s': 3356.3}
{'iter': 90, 'env_steps': 2949120, 'episode_return_mean': np.float64(828.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.009954629465937614), 'wall_s': 3391.5}
{'iter': 91, 'env_steps': 2981888, 'episode_return_mean': np.float64(838.21875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.00973550509661436), 'wall_s': 3427.1}
{'iter': 92, 'env_steps': 3014656, 'episode_return_mean': np.float64(821.53125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.005712315905839205), 'wall_s': 3462.7}
{'iter': 93, 'env_steps': 3047424, 'episode_return_mean': np.float64(841.15625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007663373369723558), 'wall_s': 3498.3}
{'iter': 94, 'env_steps': 3080192, 'episode_return_mean': np.float64(841.375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.010171622969210148), 'wall_s': 3534.0}
{'iter': 95, 'env_steps': 3112960, 'episode_return_mean': np.float64(834.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.009835436940193176), 'wall_s': 3569.6}
{'iter': 96, 'env_steps': 3145728, 'episode_return_mean': np.float64(826.25), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008322461508214474), 'wall_s': 3604.8}
{'iter': 97, 'env_steps': 3178496, 'episode_return_mean': np.float64(832.96875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007380289025604725), 'wall_s': 3640.4}
{'iter': 98, 'env_steps': 3211264, 'episode_return_mean': np.float64(827.90625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006468885112553835), 'wall_s': 3676.1}
{'iter': 99, 'env_steps': 3244032, 'episode_return_mean': np.float64(836.3125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.00742182694375515), 'wall_s': 3711.9}
{'iter': 100, 'env_steps': 3276800, 'episode_return_mean': np.float64(834.03125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006599811837077141), 'wall_s': 3747.5}
{'iter': 101, 'env_steps': 3309568, 'episode_return_mean': np.float64(838.75), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008089984767138958), 'wall_s': 3783.1}
{'iter': 102, 'env_steps': 3342336, 'episode_return_mean': np.float64(829.125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006829650141298771), 'wall_s': 3818.8}
{'iter': 103, 'env_steps': 3375104, 'episode_return_mean': np.float64(835.65625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.00670974375680089), 'wall_s': 3854.5}
