2026-07-06 09:45:05,419	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:45:05,420	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:45:08,289	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:45:09,145 E 37725 7368773] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '8b0497f13ce866c030c4e79201000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
2026-07-06 09:45:11,739	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
[36m(SingleAgentEnvRunner pid=37758)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:45:11,787	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 85, 'env_steps': 2786640, 'episode_return_mean': np.float64(383.9825100611697), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6240524053573608), 'wall_s': 200.7}
{'iter': 86, 'env_steps': 2819424, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6178972721099854), 'wall_s': 203.1}
{'iter': 87, 'env_steps': 2852208, 'episode_return_mean': np.float64(383.5118533256771), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6109039783477783), 'wall_s': 205.4}
{'iter': 88, 'env_steps': 2884992, 'episode_return_mean': np.float64(382.3526919426771), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6033213138580322), 'wall_s': 208.0}
{'iter': 89, 'env_steps': 2917776, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5930368900299072), 'wall_s': 210.3}
{'iter': 90, 'env_steps': 2950560, 'episode_return_mean': np.float64(382.9760304558706), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5864111185073853), 'wall_s': 212.9}
{'iter': 91, 'env_steps': 2983344, 'episode_return_mean': np.float64(385.00224546087134), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5859140157699585), 'wall_s': 215.1}
{'iter': 92, 'env_steps': 3016128, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5753344297409058), 'wall_s': 217.3}
{'iter': 93, 'env_steps': 3048912, 'episode_return_mean': np.float64(385.5786743468666), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5722692012786865), 'wall_s': 219.4}
{'iter': 94, 'env_steps': 3081696, 'episode_return_mean': np.float64(385.2410566340475), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5646946430206299), 'wall_s': 221.5}
{'iter': 95, 'env_steps': 3114480, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5582876205444336), 'wall_s': 223.5}
{'iter': 96, 'env_steps': 3147264, 'episode_return_mean': np.float64(386.8191666004999), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5568715333938599), 'wall_s': 225.6}
{'iter': 97, 'env_steps': 3180048, 'episode_return_mean': np.float64(388.454413911173), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5438318252563477), 'wall_s': 227.9}
{'iter': 98, 'env_steps': 3212832, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5351918935775757), 'wall_s': 230.3}
{'iter': 99, 'env_steps': 3245616, 'episode_return_mean': np.float64(385.8828069965954), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.529968500137329), 'wall_s': 232.5}
{'iter': 100, 'env_steps': 3278400, 'episode_return_mean': np.float64(385.56751077823344), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5252013206481934), 'wall_s': 234.9}
{'iter': 101, 'env_steps': 3311184, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5143808126449585), 'wall_s': 237.4}
{'iter': 102, 'env_steps': 3343968, 'episode_return_mean': np.float64(389.7511229239972), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.5104848146438599), 'wall_s': 240.1}
{'iter': 103, 'env_steps': 3376752, 'episode_return_mean': np.float64(392.0176465289427), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.502150297164917), 'wall_s': 242.4}
{'iter': 104, 'env_steps': 3409536, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.4925862550735474), 'wall_s': 245.1}
{'iter': 105, 'env_steps': 3442320, 'episode_return_mean': np.float64(382.4165458547333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.4853895902633667), 'wall_s': 247.2}
{'iter': 106, 'env_steps': 3475104, 'episode_return_mean': np.float64(383.547706048059), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.4789808988571167), 'wall_s': 249.7}
{'iter': 107, 'env_steps': 3507888, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.4697163105010986), 'wall_s': 252.1}
{'iter': 108, 'env_steps': 3540672, 'episode_return_mean': np.float64(384.0465942828206), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.464505910873413), 'wall_s': 254.4}
{'iter': 109, 'env_steps': 3573456, 'episode_return_mean': np.float64(384.7770376526047), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.4602940082550049), 'wall_s': 256.8}
